id;item_name;description;qty;price;discount;total;created_date;created_by;last_modified_date;last_modified_by
1;gold;parse;23065;2081;89833;22387;2020-03-11T07:53:25;optical;2020-03-11T14:16:08;maximized Savings Account Quality
2;Sleek Soft Bacon;Ghana;93874;18213;6918;50127;2020-03-11T19:31:13;Balanced Principal Point;2020-03-11T21:57:51;synergies maroon
3;Handmade;Vietnam Phased Investment Account;35020;13097;51521;44039;2020-03-11T13:59:38;expedite Florida;2020-03-11T14:18:15;access
4;Handmade deposit;Security;9933;77300;35328;51015;2020-03-12T02:26:39;Avon;2020-03-12T02:36:38;Intelligent Designer
5;multi-byte architect heuristic;compressing copying;80635;12483;33390;3756;2020-03-11T08:29:16;Home Loan Account Vermont;2020-03-11T21:09:40;Wooden Synergistic contingency
6;pixel;firmware Solomon Islands;93004;75247;81621;78644;2020-03-11T13:59:32;Granite parsing;2020-03-11T17:57:49;invoice
7;Assistant teal THX;holistic back-end;67394;10512;5173;65348;2020-03-12T02:20:56;intermediate Handmade;2020-03-11T19:16:59;Cambridgeshire
8;synthesizing deposit;open-source mobile;65424;29420;34236;61611;2020-03-12T06:06:15;Object-based District;2020-03-11T19:50:21;neural multi-state Gorgeous
9;connecting Hawaii;Poland Internal;42626;58256;74019;54800;2020-03-12T01:37:20;Missouri Global bluetooth;2020-03-12T00:24:50;Mexico Toys
10;networks;Metal;96324;14403;89607;99698;2020-03-12T02:40:53;synthesize Buckinghamshire virtual;2020-03-12T04:30:28;Face to face Checking Account
