id;customer;from_date;to_date;remarks;invoice_report;invoice_report_content_type;created_on;created_by;updated_on;updated_by
1;53074;2020-03-24;2020-03-24;Toys Oval Refined Soft Chicken;../fake-data/blob/hipster.png;image/png;2020-03-24T17:42:17;invoice;2020-03-24T11:22:12;Synergized protocol AGP
2;59643;2020-03-24;2020-03-24;Practical enable fault-tolerant;../fake-data/blob/hipster.png;image/png;2020-03-24T00:35:07;Lock Computers connect;2020-03-24T05:25:57;Steel
3;77178;2020-03-24;2020-03-24;Computer Refined Wooden Shirt;../fake-data/blob/hipster.png;image/png;2020-03-24T08:36:32;scalable;2020-03-24T19:55:26;Indonesia Unbranded
4;53364;2020-03-24;2020-03-24;Investor real-time;../fake-data/blob/hipster.png;image/png;2020-03-24T00:05:49;Florida Up-sized;2020-03-24T13:55:57;Central
5;90628;2020-03-24;2020-03-24;tan;../fake-data/blob/hipster.png;image/png;2020-03-24T20:17:07;Human firewall compressing;2020-03-24T04:27:07;attitude-oriented
6;60602;2020-03-24;2020-03-24;online Credit Card Account XML;../fake-data/blob/hipster.png;image/png;2020-03-24T14:15:26;Planner payment Frozen;2020-03-24T00:27:30;transmitting
7;57848;2020-03-24;2020-03-24;foreground;../fake-data/blob/hipster.png;image/png;2020-03-24T04:40:55;utilize Tools recontextualize;2020-03-24T19:48:31;Agent hard drive
8;65767;2020-03-24;2020-03-24;Money Market Account Buckinghamshire;../fake-data/blob/hipster.png;image/png;2020-03-24T10:26:22;SMS convergence;2020-03-24T10:11:14;National enhance Tools
9;51418;2020-03-24;2020-03-24;reinvent green;../fake-data/blob/hipster.png;image/png;2020-03-24T12:19:03;background repurpose;2020-03-24T21:11:49;Frozen cyan
10;15474;2020-03-24;2020-03-24;Michigan;../fake-data/blob/hipster.png;image/png;2020-03-24T22:37:04;turn-key;2020-03-24T17:35:39;Gourde US Dollar withdrawal
