id;invoice_no;pay_date;pay_ref_no;mode;ammount;unused_ammount;created_date;created_by;last_modified_date;last_modified_by
1;Soap Guernsey;2020-05-11;Bacon Gabon Polarised;CHECK;10361;44370;2020-05-11T07:44:14;solid state Buckinghamshire;2020-05-11T12:05:11;Tools e-services Skyway
2;hack;2020-05-11;Factors Alabama Accountability;CHECK;14845;13643;2020-05-11T14:01:28;syndicate;2020-05-11T16:59:24;Singapore Dollar Sleek
3;system engine Pre-emptive;2020-05-11;redundant Multi-channelled bandwidth;CASH;24324;46136;2020-05-11T07:36:02;throughput EXE;2020-05-11T01:25:55;demand-driven Vermont red
4;back-end task-force;2020-05-10;United States Minor Outlying Islands Designer indigo;BANK_TRANSFER;70263;62426;2020-05-11T07:54:05;Table Music Slovenia;2020-05-11T11:30:16;Kentucky SDD
5;capacitor Assistant;2020-05-11;Netherlands;CHECK;2587;52561;2020-05-10T17:32:12;Pizza Avon;2020-05-11T02:00:57;Accountability Cedi
6;protocol Accounts optical;2020-05-10;target Bedfordshire deposit;CHECK;303;74355;2020-05-10T21:36:04;Intelligent Rubber Chair wireless Intelligent;2020-05-11T05:27:11;payment synthesize Malaysian Ringgit
7;Checking Account;2020-05-11;expedite Car incubate;BANK_TRANSFER;21621;73886;2020-05-11T02:49:01;action-items;2020-05-10T20:02:27;Salad Incredible Handmade
8;reboot;2020-05-11;Metical;CASH;94654;27817;2020-05-10T20:58:29;reintermediate;2020-05-11T01:34:33;pink Engineer
9;magenta Orchestrator Borders;2020-05-11;Technician 3rd generation;CHECK;22203;20003;2020-05-10T18:55:43;orchid Pizza;2020-05-10T21:45:00;sensor Cambridgeshire
10;Northern Mariana Islands TCP;2020-05-11;Forest end-to-end;CHECK;23010;13564;2020-05-10T23:38:58;Representative Gloves El Salvador;2020-05-11T02:18:38;client-driven
