id;number;trip_type;pickup;jhi_drop;container_size;created_date;created_by;last_modified_date;last_modified_by
1;Data revolutionary withdrawal;PICKUP;2020-03-12T04:42:53;2020-03-11T22:19:35;C43;2020-03-11T12:45:33;3rd generation Designer;2020-03-11T11:04:56;Phased
2;Antigua and Barbuda Mouse Checking Account;PICKUP;2020-03-12T06:00:13;2020-03-11T09:05:43;C53;2020-03-11T06:57:46;cohesive Chilean Peso Unidades de fomento e-business;2020-03-12T03:43:43;matrix Gorgeous
3;generate Generic Salad;RETURN;2020-03-11T20:24:33;2020-03-11T11:30:20;C20;2020-03-11T12:04:35;Bike discrete;2020-03-12T05:23:50;Applications EXE
4;maximize Regional;PICKUP;2020-03-11T15:40:57;2020-03-11T07:05:58;C20;2020-03-11T07:35:09;Associate mint green;2020-03-11T14:04:30;initiatives
5;withdrawal FTP neural;RETURN;2020-03-11T14:22:56;2020-03-11T23:55:48;C53;2020-03-11T14:28:42;invoice revolutionary;2020-03-11T17:50:08;Tasty
6;Reverse-engineered Saint Kitts and Nevis generating;PICKUP;2020-03-11T08:25:51;2020-03-11T17:36:48;C53;2020-03-12T02:37:42;deposit;2020-03-11T22:14:51;Frozen Infrastructure
7;Electronics Awesome silver;RETURN;2020-03-11T10:47:39;2020-03-11T21:40:46;C20;2020-03-11T11:30:57;Money Market Account;2020-03-11T09:14:10;Right-sized strategize Tools
8;Plastic Credit Card Account Lead;RETURN;2020-03-12T01:38:30;2020-03-11T07:36:08;C20;2020-03-12T05:01:16;Internal invoice;2020-03-11T06:46:45;Florida
9;digital;RETURN;2020-03-11T18:03:47;2020-03-12T00:20:51;C43;2020-03-11T12:35:13;applications reciprocal instruction set;2020-03-11T20:49:42;reboot Down-sized connect
10;process improvement;PICKUP;2020-03-11T08:10:54;2020-03-12T06:31:50;C43;2020-03-12T06:29:06;Vermont;2020-03-12T00:13:05;Hat pixel
