id;enumber;type;ownershiptype;status;vin;make;model;description;year;year_purchased;license_plate_number;license_plate_expiration;inspection_sticker_expiration;created_date;created_by;last_modified_date;last_modified_by
1;Ohio Fish;CHASIS;Savings Account indexing;ACTIVE;capacitor architectures complexity;payment reboot;De-engineered Jordanian Dinar;Light;implementation structure;reboot Granite;firewall payment;2020-03-12;2020-03-11;2020-03-12T01:02:09;Home Loan Account SDD;2020-03-12T04:44:08;local area network
2;Fantastic Granite Sausages Salad;TRAILER;magnetic;ACTIVE;Corporate;Re-contextualized Practical Metal Shoes;Costa Rican Colon Officer Vatu;Cambridgeshire transition;Agent navigating;invoice magnetic;National Communications Incredible Frozen Towels;2020-03-12;2020-03-11;2020-03-11T12:05:13;invoice Administrator;2020-03-11T15:16:23;Engineer Cotton e-business
3;deploy;TRAILER;Nakfa Officer Awesome Rubber Gloves;INACTIVE;Automotive Unbranded magenta;SQL;disintermediate synergies e-commerce;Integration SMS;conglomeration reboot Gabon;withdrawal;Hong Kong Dollar extensible;2020-03-11;2020-03-12;2020-03-12T05:40:09;Steel Beauty Swiss Franc;2020-03-11T23:58:26;Communications demand-driven
4;Grass-roots sensor Digitized;CONTAINER;Concrete Orchestrator proactive;ACTIVE;wireless Orchestrator;Bolivar Fuerte Investment Account;Mauritius Rupee synthesize;white bluetooth;seamless Liechtenstein Regional;platforms;Representative;2020-03-11;2020-03-11;2020-03-11T06:48:26;time-frame;2020-03-11T15:32:52;violet methodology tertiary
5;program;CONTAINER;encompassing;INACTIVE;Small Fresh Hat;frictionless neural-net;portals Dominican Peso online;HTTP Norfolk Island;withdrawal;Networked Rustic Louisiana;interactive quantify;2020-03-11;2020-03-11;2020-03-11T15:01:58;withdrawal;2020-03-12T02:28:10;e-commerce
6;bypass application gold;CHASIS;expedite Small Wooden Shirt;INACTIVE;bypassing Security;bluetooth;Rustic Concrete Cheese Sleek Borders;Practical;Supervisor;optical grid-enabled Baby;strategize Rubber Investment Account;2020-03-11;2020-03-11;2020-03-11T16:59:42;transmitter Dale;2020-03-12T02:20:57;Ergonomic Agent redundant
7;driver;TRAILER;Sleek Unbranded Granite Car;ACTIVE;Incredible Wooden Car scalable invoice;Bacon syndicate;Fresh Divide Forward;AI Peru cross-media;neural;open-source e-enable;scale Rustic;2020-03-11;2020-03-11;2020-03-11T23:29:38;Steel synthesize Berkshire;2020-03-11T09:22:53;Toys Liberia hacking
8;Web Guyana Dollar;CHASIS;Senior;ACTIVE;index Executive;out-of-the-box;Liaison;Engineer Legacy matrix;reciprocal;Unbranded Cheese feed;collaborative Central Personal Loan Account;2020-03-11;2020-03-11;2020-03-11T09:13:00;time-frame Auto Loan Account Pike;2020-03-12T03:06:36;matrix
9;drive;CHASIS;deposit digital Kuwait;ACTIVE;open-source;24/365 bypass;leading-edge;JSON Table;Tenge;Savings Account connect Central;Bolivar Fuerte Refined;2020-03-11;2020-03-11;2020-03-12T00:12:18;web services;2020-03-12T00:23:18;Public-key
10;Towels withdrawal;CHASIS;withdrawal withdrawal;INACTIVE;JSON intuitive;firewall;invoice;logistical;Congolese Franc;Self-enabling Internal Gorgeous Concrete Hat;Strategist;2020-03-11;2020-03-11;2020-03-12T04:06:07;Administrator Digitized;2020-03-11T17:08:56;Identity
