id;custom_trip_number;description;trip_type;shipment_number;bol;pickup;jhi_drop;current_location;status;detention;chasis_in_time;order_document;order_document_content_type;pod;pod_content_type;hazmat;refrigerated;liftgate;recieved_by;covered_by;load_type;container_size;numbers_of_container;comments;auto_generate_invoice;created_on;created_by;updated_on;updated_by
1;Architect;e-business Solutions;RETURN;architecture Money Market Account;Chief;2020-03-11;2020-03-12;Rhode Island Prairie parse;DELIVERED;22215;2020-03-11T14:21:09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false;true;Research magnetic;CompanyDriver;POWERONLY;C53;22902;Outdoors;true;2020-03-11T11:59:42;Handmade;2020-03-11T18:46:14;Ergonomic distributed Orchestrator
2;networks;Gorgeous Bahamian Dollar Tools;RETURN;Haiti reboot;SCSI Polarised Argentina;2020-03-11;2020-03-11;discrete deliver;PICKEDUP;83003;2020-03-12T02:58:45;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;true;false;e-business Cote d'Ivoire Buckinghamshire;OwnerOperator;FLAT_DECK;C20;9187;Savings Account Stream Alaska;false;2020-03-11T08:18:05;Cambridgeshire indexing Gloves;2020-03-11T12:51:59;help-desk deposit Credit Card Account
3;deposit Administrator platforms;microchip;PICKUP;synthesizing architect Investor;copying;2020-03-11;2020-03-12;UIC-Franc 1080p;COMPLETED;11609;2020-03-11T23:24:06;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;true;false;virtual Washington User-friendly;CompanyDriver;POWERONLY;C20;74346;Interactions core;false;2020-03-12T02:33:11;eyeballs;2020-03-11T07:53:44;Berkshire convergence
4;Checking Account;Hat;PICKUP;Enterprise-wide enable Cayman Islands;Computers;2020-03-11;2020-03-11;open architecture;PICKEDUP;1091;2020-03-11T16:16:56;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;Outdoors;OwnerOperator;CONTAINER;C43;25565;Balanced bypass;true;2020-03-12T05:54:41;Lead payment Salad;2020-03-12T01:58:06;deposit Estonia Marshall Islands
5;Haven;deposit Program transition;RETURN;Configuration online;Metal Future Home;2020-03-11;2020-03-11;Global input calculate;DELIVERED;60116;2020-03-11T11:20:29;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;true;true;array Checking Account backing up;OwnerOperator;POWERONLY;C20;22462;protocol Yemeni Rial;true;2020-03-11T22:25:29;Product Movies Delaware;2020-03-11T08:06:18;black Granite bypass
6;Concrete Mountains cross-media;Chief;PICKUP;eyeballs;Accountability Gardens;2020-03-11;2020-03-11;Liechtenstein input;ONROAD;92150;2020-03-11T10:20:16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;optimizing Extension schemas;CompanyDriver;LTL;C20;93808;Concrete International;false;2020-03-12T02:57:37;Hills;2020-03-11T16:30:35;deposit back up deposit
7;Tactics Small;Concrete compressing initiatives;RETURN;Liaison Plains;visualize Program;2020-03-11;2020-03-11;full-range Quality;PICKEDUP;44440;2020-03-11T16:23:33;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;true;true;Coordinator;CompanyDriver;POWERONLY;C20;70585;Facilitator;false;2020-03-11T12:11:13;middleware;2020-03-11T22:50:53;explicit
8;Licensed indexing;support;RETURN;virtual Rustic Health;Clothing EXE haptic;2020-03-11;2020-03-12;systems Re-contextualized implement;PICKEDUP;91839;2020-03-11T19:44:13;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false;true;Regional invoice;CompanyDriver;CONTAINER;C53;92737;parse Myanmar pixel;true;2020-03-11T07:48:46;Security microchip;2020-03-11T22:03:31;Outdoors withdrawal
9;Bacon Investor Garden;pink Home Loan Account;RETURN;Rustic Applications;Savings Account Alabama primary;2020-03-11;2020-03-11;Table withdrawal;ONROAD;50084;2020-03-11T23:34:07;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;lime markets;OwnerOperator;POWERONLY;C20;80934;Pizza Credit Card Account;true;2020-03-12T06:22:10;Intelligent Rubber Car Rubber Public-key;2020-03-11T21:34:54;Bike Granite Money Market Account
10;JSON;Intranet Salad;RETURN;Buckinghamshire calculate users;Moldovan Leu Burundi;2020-03-11;2020-03-11;Tuna;CREATED;86508;2020-03-11T15:28:57;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;solutions Credit Card Account Cape Verde Escudo;CompanyDriver;FLAT_DECK;C53;74165;Representative Electronics;false;2020-03-11T13:29:57;Tasty Soft Gloves Gardens Automotive;2020-03-11T15:10:59;sticky back up
