id;userto;usercc;userbcc;subject;message;multipart;html_body;attachment;attachment_content_type;attachment_name;status;sent_date_time;created_on;created_by;updated_on;updated_by
1;innovate Path;Data;withdrawal;Libyan Arab Jamahiriya Handmade Concrete Fish;Utah card;false;false;../fake-data/blob/hipster.png;image/png;Rhode Island;Licensed Analyst;2020-03-11T14:46:02;2020-03-11T16:00:56;Frozen Brand North Carolina;2020-03-12T06:10:23;USB
2;COM;user-centric Colombian Peso Unidad de Valor Real;Generic;Investment Account back up;invoice Shoes Rubber;true;true;../fake-data/blob/hipster.png;image/png;Checking Account monitor Incredible Granite Chair;virtual vertical;2020-03-11T13:04:21;2020-03-11T09:17:36;Haven;2020-03-11T10:13:59;Iowa Soap
3;Credit Card Account;digital Generic;Cambridgeshire dynamic Cameroon;Seamless Shirt;Uzbekistan Future-proofed Personal Loan Account;true;true;../fake-data/blob/hipster.png;image/png;Portugal distributed;parsing;2020-03-11T21:24:02;2020-03-11T13:48:50;groupware;2020-03-11T09:44:51;Pizza Representative
4;vortals dynamic Distributed;Buckinghamshire;intuitive well-modulated;Avon Tasty Rubber Cheese portal;wireless National invoice;false;false;../fake-data/blob/hipster.png;image/png;Tasty Steel Chicken connect Associate;national;2020-03-11T19:22:35;2020-03-11T18:12:55;Tactics Chicken overriding;2020-03-11T20:53:41;coherent
5;Incredible Plastic Chair;Auto Loan Account;zero tolerance Health;Assistant;Stream deposit Arkansas;true;false;../fake-data/blob/hipster.png;image/png;Connecticut Iraqi Dinar 1080p;Delaware lavender 5th generation;2020-03-12T05:22:25;2020-03-12T03:49:14;Communications matrix tan;2020-03-11T12:17:30;Surinam Dollar
6;XSS withdrawal Consultant;Unbranded Soft Bacon orange;SAS calculate bandwidth-monitored;innovative integrate bluetooth;synthesizing navigating reboot;true;false;../fake-data/blob/hipster.png;image/png;Designer;Coordinator navigating Canadian Dollar;2020-03-12T00:41:27;2020-03-11T15:51:40;mobile;2020-03-12T06:28:24;channels invoice
7;Shoes THX Handcrafted Plastic Sausages;redundant Faroe Islands Investment Account;National;Solomon Islands Dollar Norwegian Krone;Sausages core Home;true;false;../fake-data/blob/hipster.png;image/png;hack Fundamental architectures;system Clothing;2020-03-12T00:44:46;2020-03-11T18:50:11;Pizza;2020-03-11T14:05:42;Borders metrics killer
8;fuchsia;Pants;Soft THX;Representative Borders;withdrawal copying cutting-edge;true;true;../fake-data/blob/hipster.png;image/png;intermediate Regional;evolve Gorgeous Rubber Computer Pants;2020-03-11T07:22:57;2020-03-11T23:26:30;Refined Tactics quantifying;2020-03-11T17:11:27;Customer PCI
9;Personal Loan Account;payment synergies cyan;Checking Account tan;robust;Phased Investor;true;false;../fake-data/blob/hipster.png;image/png;supply-chains;protocol;2020-03-11T13:48:59;2020-03-11T10:15:45;visionary Chair;2020-03-11T18:22:37;Tennessee B2C Home Loan Account
10;groupware e-business invoice;Baby;Architect Oman;EXE;National channels benchmark;false;true;../fake-data/blob/hipster.png;image/png;turquoise Licensed Soft Shirt Accountability;Infrastructure dynamic International;2020-03-12T01:08:04;2020-03-11T09:23:53;parsing;2020-03-11T18:02:54;transmitter Nebraska functionalities
