id;provider_name;issue_date;expiry_date;policy_document;policy_document_content_type;coverage_statement;created_on;created_by;updated_on;updated_by
1;Direct Metal Optimization;2020-03-11;2020-03-11;../fake-data/blob/hipster.png;image/png;transmitting;2020-03-11T15:25:18;info-mediaries payment invoice;2020-03-12T02:26:25;Handmade Cotton Car Puerto Rico
2;white platforms Plastic;2020-03-11;2020-03-12;../fake-data/blob/hipster.png;image/png;SSL;2020-03-12T00:08:46;e-commerce primary;2020-03-11T13:44:16;Pizza Managed
3;Compatible payment Home Loan Account;2020-03-11;2020-03-12;../fake-data/blob/hipster.png;image/png;neural orange;2020-03-11T11:05:31;regional;2020-03-12T00:32:57;Albania
4;invoice optimize;2020-03-12;2020-03-11;../fake-data/blob/hipster.png;image/png;Texas navigating Ridges;2020-03-11T14:48:02;copying;2020-03-11T15:42:11;Buckinghamshire transmit Executive
5;Personal Loan Account;2020-03-11;2020-03-11;../fake-data/blob/hipster.png;image/png;ADP online Tasty Concrete Car;2020-03-11T10:56:10;web services;2020-03-11T22:46:05;IB monitor
6;Ouguiya;2020-03-11;2020-03-12;../fake-data/blob/hipster.png;image/png;front-end;2020-03-11T13:46:57;Focused Usability;2020-03-11T08:36:38;invoice Personal Loan Account redundant
7;Programmable;2020-03-11;2020-03-11;../fake-data/blob/hipster.png;image/png;Manager challenge Chips;2020-03-11T22:44:20;incentivize Berkshire Centralized;2020-03-11T19:49:22;Internal Versatile
8;tertiary;2020-03-11;2020-03-11;../fake-data/blob/hipster.png;image/png;engineer RAM Michigan;2020-03-11T21:02:30;Division Rustic;2020-03-12T01:04:44;program exploit Awesome Wooden Shoes
9;Bedfordshire parsing;2020-03-11;2020-03-11;../fake-data/blob/hipster.png;image/png;sexy virtual;2020-03-11T23:58:03;Product Rustic Rubber Mouse;2020-03-11T07:48:03;Berkshire auxiliary
10;Human Reduced;2020-03-11;2020-03-11;../fake-data/blob/hipster.png;image/png;Buckinghamshire mint green;2020-03-11T22:34:14;Implemented Gorgeous;2020-03-11T10:57:06;supply-chains Fresh grey
