id;balance;over_30;over_60;over_90;created_date;created_by;last_modified_date;last_modified_by
1;96113;89691;79862;34169;2020-03-11T10:02:06;Fresh;2020-03-11T21:58:17;24/365 Alabama
2;87119;86850;29107;9778;2020-03-11T14:59:32;Technician invoice Cambridgeshire;2020-03-12T00:00:04;Administrator Dynamic Swedish Krona
3;50710;15220;31901;97344;2020-03-11T19:22:26;visionary;2020-03-11T21:10:07;networks
4;10506;60384;34515;80220;2020-03-11T15:08:27;Chips;2020-03-11T23:22:39;responsive connecting bus
5;4896;30076;66144;15489;2020-03-11T21:41:37;payment SDD connecting;2020-03-11T21:03:23;Auto Loan Account
6;28284;43392;39379;47047;2020-03-11T14:14:03;Beauty;2020-03-11T13:31:13;support hack
7;84456;60832;23698;26580;2020-03-11T18:46:16;Division Intelligent;2020-03-11T12:58:50;clicks-and-mortar expedite Steel
8;84234;378;19427;74143;2020-03-11T17:26:04;Plastic haptic Bedfordshire;2020-03-11T21:04:28;Denar
9;54896;42115;32838;15838;2020-03-12T01:32:29;upward-trending methodical Steel;2020-03-11T15:37:26;orange Granite Automotive
10;1232;54202;7320;40859;2020-03-11T18:00:16;Clothing Money Market Account background;2020-03-11T23:47:06;Investment Account Gorgeous Orchestrator
